Burglary,200 block Herald Pl,Syracuse,12/14/15
Burglary,4700 block S Salina St,Syracuse,12/14/15
Burglary,500 block Nottingham Rd,Syracuse,12/14/15
Burglary,400 block W Onondaga St,Syracuse,12/14/15
Burglary,200 block Ashworth Pl,Syracuse,12/14/15
Larceny,500 block Village Blvd N,Baldwinsville,12/14/15
Larceny,100 block Downing Rd,DeWitt,12/14/15
Larceny,700 block First North St,Syracuse,12/14/15
Larceny,200 block Lakeview Av,Syracuse,12/14/15
Larceny,100 block Summerfield Village Ln,Syracuse,12/14/15
Larceny,6500 block Thompson Rd,Syracuse,12/14/15
Larceny,100 block Ballantyne Rd,Syracuse,12/14/15
Larceny,200 block Cleveland Av,Syracuse,12/14/15
Larceny,3300 block W Genesee St,Syracuse,12/14/15
Larceny,800 block Turtle St,Syracuse,12/14/15
Larceny,6900 block Route 80,Tully,12/14/15
Robbery,1600 block Grant Blvd,Syracuse,12/14/15
Vehicle theft,200 block Ostrom Av,Syracuse,12/14/15
Aggravated assault,600 block N Geddes St,Syracuse,12/13/15
Burglary,5900 block E Taft Rd,North Syracuse,12/13/15
Burglary,1500 block Meadowbrook Dr,Syracuse,12/13/15
Burglary,800 block Ackerman Av,Syracuse,12/13/15
Larceny,3100 block Olive Dr,Baldwinsville,12/13/15
Larceny,6400 block Basile Row,East Syracuse,12/13/15
Larceny,100 block Remington Av,Syracuse,12/13/15
Larceny,1200 block Harrison St,Syracuse,12/13/15
Larceny,2000 block Grant Blvd,Syracuse,12/13/15
Larceny,300 block N Clinton St,Syracuse,12/13/15
Vehicle theft,200 block Kensington Pl,Syracuse,12/13/15
Vehicle theft,200 block Howard St,Syracuse,12/13/15
Aggravated assault,0 block Sequoia Dr,Syracuse,12/12/15
Aggravated assault,500 block Vine St,Syracuse,12/12/15
Burglary,2600 block Brewerton Rd,Mattydale,12/12/15
Burglary,3500 block James St,Syracuse,12/12/15
Burglary,900 block Madison St,Syracuse,12/12/15
Burglary,100 block Rider Av,Syracuse,12/12/15
Burglary,100 block Fay Rd,Syracuse,12/12/15
Larceny,6400 block Basile Row,E Syracuse,12/12/15
Larceny,6400 block Basile Row,East Syracuse,12/12/15
Larceny,100 block Ravenswood Dr,Liverpool,12/12/15
Larceny,600 block S Main St,North Syracuse,12/12/15
Larceny,800 block Fay Rd,Syracuse,12/12/15
Larceny,0 block Destiny Usa Dr,Syracuse,12/12/15
Larceny,0 block Destiny Usa Dr,Syracuse,12/12/15
Larceny,200 block Markland Av,Syracuse,12/12/15
Larceny,300 block W Seneca Tpke,Syracuse,12/12/15
Larceny,700 block S Crouse Av,Syracuse,12/12/15
Larceny,900 block Ackerman Av,Syracuse,12/12/15
Larceny,900 block Ackerman Av,Syracuse,12/12/15
Larceny,400 block Kensington Rd,Syracuse,12/12/15
Larceny,400 block Butternut St,Syracuse,12/12/15
Larceny,1600 block Spring St,Syracuse,12/12/15
Larceny,1500 block Meadowbrook Dr,Syracuse,12/12/15
Larceny,700 block Ackerman Av,Syracuse,12/12/15
Larceny,600 block Walnut Av,Syracuse,12/12/15
Larceny,100 block Lafayette Rd,Syracuse,12/12/15
Robbery,300 block Charles Av,Syracuse,12/12/15
Vehicle theft,5300 block Bunker Hill Way,Syracuse,12/12/15
Aggravated assault,100 block N Edwards Av,Syracuse,12/11/15
Aggravated assault,600 block S Geddes St,Syracuse,12/11/15
Burglary,5100 block Highbridge St,Fayetteville,12/11/15
Burglary,800 block Tulip St,Liverpool,12/11/15
Burglary,400 block W Division St,Syracuse,12/11/15
Burglary,300 block Columbus Av,Syracuse,12/11/15
Burglary,100 block Richmond Av,Syracuse,12/11/15
Larceny,5300 block W Genesee St,Camillus,12/11/15
Larceny,100 block Jamesville Rd,DeWitt,12/11/15
Larceny,3100 block Erie Blvd E,DeWitt,12/11/15
Larceny,6400 block Basile Rowe,East Syracuse,12/11/15
Larceny,6400 block Basile Rowe,East Syracuse,12/11/15
Larceny,5100 block W Taft Rd,Liverpool,12/11/15
Larceny,100 block Juanita Dr,Liverpool,12/11/15
Larceny,100 block Metropolitan Park Dr,Liverpool,12/11/15
Larceny,100 block W Seneca St,Manlius,12/11/15
Larceny,2300 block Brewerton Rd,Mattydale,12/11/15
Larceny,300 block S Salina St,Syracuse,12/11/15
Larceny,200 block Lafayette Rd,Syracuse,12/11/15
Larceny,4300 block S Salina St,Syracuse,12/11/15
Larceny,700 block First North St,Syracuse,12/11/15
Larceny,2500 block Erie Blvd E,Syracuse,12/11/15
Larceny,400 block Comstock Av,Syracuse,12/11/15
Vehicle theft,5700 block W Pine Grove Rd,Cicero,12/11/15
Vehicle theft,800 block Butternut St,Syracuse,12/11/15
Aggravated assault,1200 block Almond St,Syracuse,12/10/15
Aggravated assault,500 block S Salina St,Syracuse,12/10/15
Burglary,5800 block E Taft Rd,North Syracuse,12/10/15
Burglary,400 block Richmond Av,Syracuse,12/10/15
Burglary,400 block Greenwood Pl,Syracuse,12/10/15
Burglary,100 block Judson St,Syracuse,12/10/15
Burglary,600 block Court St,Syracuse,12/10/15
Burglary,100 block Redfield Pl,Syracuse,12/10/15
Larceny,5800 block State Rt 31,Cicero,12/10/15
Larceny,5800 block Glendora Rd,Cicero,12/10/15
Larceny,4100 block Route 31,Clay,12/10/15
Larceny,3700 block Erie Blvd E,DeWitt,12/10/15
Larceny,4100 block Medical Center Dr,Fayetteville,12/10/15
Larceny,100 block Long Branch Cir,Liverpool,12/10/15
